Country Name,Access to electricity (% of population),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Energy use (kg of oil equivalent per capita),Forest area (% of land area),GDP per capita (current US$),Urban population (% of total population)
Afghanistan,85.3,0.2809954687713674,1467.1093190284712,1.8527819940818424,413.7578947053032,25.4730529631167
Albania,100.0,1.7491440891928445,888.4638556953848,28.791970802919707,9730.869219068934,58.2106086137857
Algeria,100.0,4.1282751907922455,1503.414065780634,0.8303142240546827,5370.477235078005,74.732808364138
American Samoa,100.0,0.002104332821279,1467.1093190284712,85.2,7309.929761202353,81.3721542708222
Angola,51.1,0.7438386373015484,448.8709033527133,52.0912696719339,2916.136632842746,69.8515032220457
Antigua and Barbuda,100.0,3.68747053024133,1467.1093190284712,18.01340909090909,21494.547400072708,24.4500156687422
Argentina,100.0,4.169904867762045,1763.5087974294772,10.321295141210731,14261.84656679479,92.1945132257907
Armenia,100.0,2.5296697365313903,1300.305326645279,11.618315824711416,8159.0872096799585,65.6956882008852
Aruba,100.0,5.002840935552679,1467.1093190284712,2.333333333333333,35718.75311916344,61.8351492675589
Australia,100.0,14.159670084556137,4927.6489481382205,17.42131455716444,65058.37731466737,87.4866955653765
Austria,100.0,6.403595100660213,3308.7116704241053,47.24026539020844,56579.50417546799,69.2265358276021
Azerbaijan,100.0,4.1112835014680975,1732.1973950284607,14.111954022988508,7133.028380483284,58.5075350483702
"Bahamas, The",100.0,3.5294412177047865,1467.1093190284712,50.935064935064936,38231.77448427799,81.3213799173676
Bahrain,100.0,24.532373233975395,10511.612970527354,0.95,29290.12842150983,100.0
Bangladesh,99.5,0.6939475639013666,287.753137358845,14.489921526388674,2551.017738273069,32.1578465036834
Barbados,100.0,2.446021761305678,1467.1093190284712,14.651162790697676,25583.878782726963,59.4235740235775
Belarus,100.0,5.863875851492292,2856.4812758321204,43.40806865599583,7896.753882955836,78.8146420666327
Belgium,100.0,7.277630984046955,4051.074090727088,22.60444677641503,55291.47545413294,87.551492636772
Belize,99.6,0.9136329803019172,1467.1093190284712,54.51863217886892,7424.758213210218,41.9459437504976
Benin,57.0,0.4884262910854017,394.57463706996737,26.47348350478893,1394.1778472183137,51.7457922964593
Bermuda,100.0,3.992395437262357,1467.1093190284712,18.51851851851852,132604.43908621595,100.0
Bhutan,100.0,1.98465128404026,1467.1093190284712,71.60513896171999,3831.325354946087,41.7352457989939
Bolivia,99.8,1.994755213485875,847.3067145805114,46.34574319209822,4274.70820547613,70.9151414044538
Bosnia and Herzegovina,100.0,6.539504746045068,2171.048191426404,42.7326171875,8663.023264586292,51.5657239834305
Botswana,76.0,2.709693078584204,1249.8308045376464,26.29082631941136,7826.353764832983,67.0212655349864
Brazil,99.8,2.274478269893631,1481.2243992251776,58.98187297652348,10377.58977191948,87.6159710235763
British Virgin Islands,100.0,2.275234064383737,1467.1093190284712,24.133333333333333,7309.929761202353,55.6407774494219
Brunei Darussalam,100.0,21.14308997295996,8658.006976446337,72.10626185958255,32890.54918120193,74.8199193881365
Bulgaria,100.0,5.734902574940325,2604.191045054072,36.21960206337509,15853.208636704016,73.7322671584613
Burkina Faso,21.7,0.272029919860247,325.9439031365527,22.17251461988304,873.4825896510025,27.7872478365158
Burundi,11.6,0.0693599815916636,1467.1093190284712,10.889408099688474,250.62725309725457,23.5534768372276
Cabo Verde,98.6,1.245953236549238,1467.1093190284712,11.568238213399503,4794.901219172586,75.9064245753376
Cambodia,95.0,1.0856479727821815,554.9051829115851,43.06197598005891,2429.748534528382,40.6290788072508
Cameroon,72.0,0.3641847527518279,370.7182090681859,42.67411309259376,1720.4751015450624,55.1286878511388
Canada,100.0,14.147894429536116,7336.067035314271,39.46171173211055,54220.328503987526,82.5250564408346
Cayman Islands,100.0,4.920726197321942,1467.1093190284712,52.47208333333333,99143.5180243123,100.0
Central African Republic,17.6,0.0645327701288384,1467.1093190284712,35.65604032232174,495.9788972887206,43.6983692134165
Chad,12.0,0.1505663007276128,187.87400954470772,3.1610310514612454,949.3334536745924,26.3305395171046
Chile,100.0,3.917190413368849,2059.2761619684534,25.01164611135842,17067.036479915365,88.8158617217972
China,100.0,9.230275535014284,2850.941529065109,24.03193899582561,12951.178239704272,65.5301448035523
Colombia,98.7,1.7736096483502506,872.6333947037576,52.7661596214511,7000.836605010462,78.275571579544
Comoros,89.8,0.5154123945921093,1467.1093190284712,16.980118216012897,1560.2737847685466,33.1502180946901
"Congo, Dem. Rep.",22.1,0.0580434409082673,409.4335715132776,54.18985725943407,660.2120523899703,44.3754734892194
"Congo, Rep.",51.3,1.2724480562067708,576.0492271681618,64.13177159590045,2477.978455448662,63.6626757615625
Costa Rica,100.0,1.5860856621013508,1025.1493570508535,60.39913826870349,16942.026811937547,78.8819393641702
Cote d'Ivoire,72.4,0.575152377678325,483.5039227625385,7.855516037735849,2591.965904811898,53.4075201638704
Croatia,100.0,4.83573016043274,2237.233698638612,34.78573981415297,22184.22793048416,57.2431560672198
Cuba,100.0,1.8174070236918904,775.8313815875689,31.233140655105974,7309.929761202353,77.1259872296321
Cyprus,100.0,5.355634598684289,1672.7857541413823,18.665584415584416,36623.69140625,66.6739477522639
Czechia,100.0,7.88005974203708,3509.348048856558,34.76238837404077,31761.594410249065,72.7352388396817
Denmark,100.0,4.407367000776196,2482.856670933682,15.7815,68043.54669712431,88.552638542867
Djibouti,65.2,0.7632634369058688,1467.1093190284712,0.2607247627264883,3381.297797107218,72.8408245988921
Dominica,100.0,1.2238761088558112,1467.1093190284712,63.82666666666667,9912.962127666682,73.1105011438027
Dominican Republic,99.6,2.893666329399233,1011.6239348407172,44.98877754729344,10630.431743829022,72.3577991823338
Ecuador,98.7,2.602329477566928,949.2738888557856,49.54509582863585,6737.847483796376,63.1307729554263
"Egypt, Arab Rep.",100.0,2.4083000025529144,928.3949474270796,0.0451855944547692,3456.7896845625296,42.7098115041919
El Salvador,98.3,1.4638748679794549,793.5380192230599,27.52799227799228,5365.444913991706,74.6080675149903
Equatorial Guinea,66.9,2.5791467506409846,1271.3504222100846,86.39358288770053,6677.793435386001,71.1290664883517
Eritrea,54.4,0.2202057981955918,292.34342973113394,8.630100133522365,7309.929761202353,34.696403503418
Estonia,100.0,8.373507428376266,3089.393339058517,57.06529370465715,30264.006488505736,70.6770085523126
Eswatini,86.4,0.876387437363166,1007.2822854652884,29.13895348837209,3755.5211123246368,25.8081878500755
Ethiopia,55.4,0.1477678916522443,382.1756926924949,14.930897578269468,1055.8109159252658,23.0586471557617
Faroe Islands,100.0,0.0385930091520564,1467.1093190284712,0.0583941605839416,72465.37696602153,39.1975270123645
Fiji,99.3,1.5558164573741131,1467.1093190284712,63.495347564313086,5926.205863947629,58.6069049738768
Finland,100.0,5.889545875641643,5866.651739751117,73.72351625213844,52834.29167527031,74.0062548602828
France,100.0,4.155983610084356,3136.1223746147525,32.4764820484275,44700.138417754366,78.7804323126547
French Polynesia,100.0,3.301816319125777,1467.1093190284712,43.05963699222127,21832.283179556853,61.6967135028569
Gabon,94.1,2.060738356456021,2041.868466634664,91.18236504055577,7802.824332761382,91.6375962797313
"Gambia, The",66.9,0.1756216535790603,1467.1093190284712,22.27923913043478,883.0241117198087,63.8020182456108
Georgia,100.0,3.648596965724241,1530.0671212218626,40.61591595913081,8283.669606522612,60.7523077799724
Germany,100.0,7.0798283910676245,2928.1965871386737,32.67893426437341,54776.76682354909,81.9034366692129
Ghana,89.5,0.6873641267111075,369.3312878657647,35.19219585730421,2383.904104834181,57.8074737774654
Gibraltar,100.0,16.355176626549866,3213.5020169580725,0.0,7309.929761202353,100.0
Greece,100.0,4.92324127436463,1874.9562305559025,30.2699767261443,23343.710396456216,78.7746303842088
Greenland,100.0,10.285764530027258,1467.1093190284712,0.0005359970763795,58498.97079736093,88.0631147749908
Grenada,94.4,1.4511321222059943,1467.1093190284712,52.05882352941177,11414.478169118118,36.462128238584
Guam,100.0,0.0018017368743468,1467.1093190284712,51.85185185185185,7309.929761202353,94.1349341638921
Guatemala,100.0,1.1105147532904849,934.9309208612073,32.59611795446062,5758.327608478517,55.6082319565539
Guinea,51.1,0.3489230617151764,1467.1093190284712,24.69884421292528,1555.4937580686064,37.6454083954705
Guinea-Bissau,40.5,0.1529252941594426,1467.1093190284712,69.5124466571835,988.087886357022,45.5923843383789
Guyana,98.9,4.526515907850519,1467.1093190284712,87.08783698020271,20473.700219061717,26.4651457279878
Haiti,51.3,0.2904858972770374,323.97125871823664,12.263062409288825,1705.7580846099909,54.4496819335618
Honduras,95.6,1.1131297187720148,593.6295508405369,56.27321476450084,3227.457625097757,58.3132392705102
"Hong Kong SAR, China",100.0,4.527461153647112,1517.8556737471106,32.38273808182967,50562.3633144379,100.0
Hungary,100.0,4.480480257576323,2515.3705294751794,22.44843414420338,22230.627787518693,70.2923026891431
Iceland,100.0,8.349258290268965,15685.697957602024,0.5287444213031836,82138.78929735567,94.1518261784801
India,99.5,2.096228588925678,763.197899394641,24.539030468957584,2530.120312782038,35.0676918424186
Indonesia,99.4,2.747471872824014,982.4149251347168,47.72203369024635,4876.3077451225245,58.1179353397878
"Iran, Islamic Rep.",100.0,9.007224879613393,3399.1047640464394,6.649236117103236,5049.299316427539,76.6759567260742
Iraq,100.0,5.168739111944436,1506.048015529814,1.9003524289959228,5965.318350777613,69.868278503418
Ireland,100.0,6.187078017704101,2467.7373396335674,11.525910872405284,106818.9171308039,64.1152082461268
Israel,100.0,6.140775713270383,2459.625294657884,6.469500924214418,52003.72007299969,91.5089569794505
Italy,100.0,5.1591446091272966,2298.390939335889,32.89449479237116,39277.08387839178,69.5381540123301
Jamaica,97.7,2.712845263692405,934.891419269966,56.19075715604801,7542.400842753452,58.4510149367429
Japan,100.0,8.050635798505661,3039.1412613175344,68.39578113646276,33836.17562716171,92.0826903891473
Jordan,100.0,2.10161310922351,767.6354575197062,1.09804716534901,4466.083142085751,92.682236868336
Kazakhstan,100.0,12.564333168192352,3650.547593308485,1.3121451642775124,12879.427525797384,61.7560919499181
Kenya,76.2,0.3843202596186997,544.9405719665965,6.216624778804023,1942.5880275619108,31.6330340816429
Kiribati,95.9,0.5734550667773334,1467.1093190284712,1.4567901234567904,2177.701258122623,61.5244676194408
"Korea, Dem. People's Rep.",57.5,2.485361987514367,664.8657889786414,49.55070176895607,7309.929761202353,63.5382165423021
